vendorid,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,ratecodeid,pulocationid,dolocationid,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2020-01-01T00:45:25.000,2020-01-01T00:55:11.000,N,1,260,83,1,1.88,8.5,0.5,0.5,0,0,0.3,9.8,2,1,0
2,2020-01-01T01:03:34.000,2020-01-01T01:18:31.000,N,1,82,226,1,2.12,11,0.5,0.5,0,0,0.3,12.3,2,1,0
2,2020-01-01T00:03:49.000,2020-01-01T00:05:50.000,N,1,41,41,1,0.00,3.5,0.5,0.5,0,0,0.3,4.8,2,1,0
1,2020-01-01T00:15:01.000,2020-01-01T00:19:31.000,N,1,244,42,1,1.20,5.5,0.5,0.5,0,0,0.3,6.8,2,1,0
1,2020-01-01T00:31:18.000,2020-01-01T00:37:55.000,N,1,152,42,1,1.30,6.5,0.5,0.5,0,0,0.3,7.8,2,1,0
1,2020-01-01T00:50:42.000,2020-01-01T00:58:43.000,N,1,166,238,1,1.50,7.5,3.25,0.5,1.5,0,0.3,13.05,1,1,2.75
2,2020-01-01T00:25:47.000,2020-01-01T00:57:24.000,N,1,66,123,1,8.02,30,0.5,0.5,0,0,0.3,31.3,2,1,0
2,2020-01-01T00:08:36.000,2020-01-01T00:28:39.000,N,1,33,62,2,4.14,16,0.5,0.5,3.46,0,0.3,20.76,1,1,0
2,2020-01-01T00:24:19.000,2020-01-01T00:35:13.000,N,1,129,80,1,4.19,14,0.5,0.5,1,0,0.3,16.3,1,1,0
2,2020-01-01T00:54:01.000,2020-01-01T01:14:28.000,N,1,52,233,1,7.56,24,0.5,0.5,8.42,0,0.3,36.47,1,1,2.75
2,2020-01-01T00:25:49.000,2020-01-01T00:44:50.000,N,1,7,173,5,3.60,15,0.5,0.5,2.21,0,0.3,18.51,1,1,0
1,2020-01-01T00:01:32.000,2020-01-01T00:34:44.000,N,1,49,168,1,0.00,32.2,0,0.5,0,6.12,0.3,39.12,1,1,0
2,2020-01-01T00:17:09.000,2020-01-01T00:21:49.000,N,1,181,181,2,1.23,6,0.5,0.5,2.19,0,0.3,9.49,1,1,0
2,2020-01-01T00:24:12.000,2020-01-01T00:49:36.000,N,1,181,112,2,6.26,23,0.5,0.5,6.08,0,0.3,30.38,1,1,0
2,2020-01-01T00:52:01.000,2020-01-01T01:06:14.000,N,1,7,112,4,6.24,19,0.5,0.5,5.08,0,0.3,25.38,1,1,0
2,2020-01-01T00:34:41.000,2020-01-01T01:11:23.000,N,1,25,14,1,5.87,25.5,0.5,0.5,8.04,0,0.3,34.84,1,1,0
2,2020-01-01T00:19:09.000,2020-01-01T00:28:30.000,N,1,95,196,1,1.44,8.5,0.5,0.5,2.45,0,0.3,12.25,1,1,0
2,2020-01-01T00:54:14.000,2020-01-01T01:23:00.000,N,1,95,140,1,9.15,31,0.5,0.5,0,0,0.3,35.05,2,1,2.75
2,2020-01-01T00:04:58.000,2020-01-01T00:12:14.000,N,1,95,121,1,2.28,9,0.5,0.5,5,0,0.3,15.3,1,1,0
1,2020-01-01T00:26:24.000,2020-01-01T00:47:17.000,N,1,74,142,1,3.70,16.5,3.25,0.5,5.1,0,0.3,25.65,1,1,2.75
2,2020-01-01T00:03:49.000,2020-01-01T00:07:03.000,N,1,181,257,5,0.73,4.5,0.5,0.5,0,0,0.3,5.8,2,1,0
2,2020-01-01T00:23:54.000,2020-01-01T00:41:19.000,N,1,181,257,5,2.96,13.5,0.5,0.5,0,0,0.3,14.8,2,1,0
2,2020-01-01T00:53:11.000,2020-01-01T01:08:28.000,N,1,181,33,5,2.52,12,0.5,0.5,3.99,0,0.3,17.29,1,1,0
2,2020-01-01T00:05:09.000,2020-01-01T00:19:34.000,N,1,181,144,1,3.25,13.5,0.5,0.5,3.51,0,0.3,21.06,1,1,2.75
2,2020-01-01T00:37:00.000,2020-01-01T00:42:44.000,N,1,181,181,1,1.08,6,0.5,0.5,1.82,0,0.3,9.12,1,1,0
2,2020-01-01T00:44:14.000,2020-01-01T01:04:35.000,N,1,181,148,1,4.13,17,0.5,0.5,0,0,0.3,21.05,2,1,2.75
2,2020-01-01T00:18:27.000,2020-01-01T00:30:24.000,N,1,49,17,1,1.81,9,0.5,0.5,0,0,0.3,10.3,2,1,0
2,2019-12-31T23:59:59.000,2020-01-01T00:11:41.000,N,1,82,70,1,2.24,10.5,0.5,0.5,0,0,0.3,11.8,2,1,0
2,2020-01-01T00:15:54.000,2020-01-01T00:31:27.000,N,1,70,260,1,3.04,13,0.5,0.5,0,0,0.3,14.3,2,1,0
1,2020-01-01T00:13:44.000,2020-01-01T00:25:53.000,N,1,181,61,2,2.10,10.5,0.5,0.5,2.95,0,0.3,14.75,1,1,0
