vendorid,lpep_pickup_datetime,lpep_dropoff_datetime,ratecodeid,pulocationid,dolocationid,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2021-01-02T09:10:11.000,2021-01-02T09:23:53.000,1,75,119,2,5.58,18.0,0.0,0.5,0.0,0.0,0.3,18.8,2,1,0.0
2,2021-01-02T09:40:52.000,2021-01-02T09:52:46.000,1,42,140,2,5.74,18.0,0.0,0.5,0.0,0.0,0.3,21.55,2,1,2.75
2,2021-01-02T09:48:09.000,2021-01-02T09:52:56.000,1,116,152,1,0.85,5.5,0.0,0.5,5.0,0.0,0.3,11.3,1,1,0.0
2,2021-01-02T10:57:27.000,2021-01-02T10:59:05.000,1,193,193,1,0.0,3.0,0.0,0.5,0.08,0.0,0.3,3.88,1,1,0.0
2,2021-01-02T10:56:03.000,2021-01-02T11:13:07.000,1,25,228,1,3.37,15.0,0.0,0.5,0.0,0.0,0.3,15.8,2,1,0.0
2,2021-01-02T10:11:34.000,2021-01-02T10:12:47.000,5,193,193,1,0.0,13.86,0.0,0.0,3.16,0.0,0.3,17.32,1,1,0.0
2,2021-01-02T10:13:03.000,2021-01-02T10:13:15.000,1,193,193,1,0.0,-2.5,0.0,-0.5,0.0,0.0,-0.3,-3.3,3,1,0.0
2,2021-01-02T10:13:03.000,2021-01-02T10:13:15.000,1,193,193,1,0.0,2.5,0.0,0.5,0.0,0.0,0.3,3.3,2,1,0.0
2,2021-01-02T10:25:55.000,2021-01-02T10:30:46.000,1,41,74,1,1.01,6.0,0.0,0.5,0.0,0.0,0.3,6.8,1,1,0.0
2,2021-01-02T10:36:46.000,2021-01-02T10:40:46.000,1,7,7,1,0.84,5.0,0.0,0.5,0.0,0.0,0.3,5.8,2,1,0.0
2,2021-01-02T10:15:47.000,2021-01-02T10:16:06.000,5,74,74,1,0.0,33.0,0.0,0.0,1.08,0.0,0.3,34.38,1,2,0.0
2,2021-01-02T10:30:56.000,2021-01-02T10:43:56.000,1,116,248,1,5.97,18.5,0.0,0.5,0.0,0.0,0.3,19.3,2,1,0.0
1,2021-01-02T10:17:55.000,2021-01-02T10:27:50.000,1,116,239,1,3.2,12.0,2.75,0.5,10.0,0.0,0.3,25.55,1,1,2.75
2,2021-01-02T10:25:54.000,2021-01-02T10:28:38.000,1,75,75,1,0.58,4.0,0.0,0.5,0.0,0.0,0.3,4.8,2,1,0.0
2,2021-01-02T10:35:08.000,2021-01-02T10:56:20.000,1,74,248,1,5.81,21.0,0.0,0.5,0.0,0.0,0.3,21.8,2,1,0.0
2,2021-01-02T10:02:55.000,2021-01-02T10:30:51.000,1,74,249,4,8.15,27.0,0.0,0.5,6.11,0.0,0.3,36.66,1,1,2.75
2,2021-01-02T10:57:16.000,2021-01-02T11:04:12.000,1,130,10,1,1.66,7.0,0.0,0.5,2.0,0.0,0.3,9.8,1,1,0.0
2,2021-01-02T10:09:27.000,2021-01-02T11:48:52.000,1,61,177,1,10.2,63.0,0.0,0.5,2.75,0.0,0.3,66.55,1,1,0.0
2,2021-01-02T10:32:30.000,2021-01-02T10:37:52.000,1,130,130,1,1.28,6.5,0.0,0.5,0.0,0.0,0.3,7.3,2,1,0.0
2,2021-01-02T10:02:53.000,2021-01-02T10:11:00.000,1,135,28,1,1.4,8.0,0.0,0.5,0.0,0.0,0.3,8.8,2,1,0.0
2,2021-01-02T11:01:06.000,2021-01-02T11:04:48.000,1,244,243,1,0.67,5.0,0.0,0.5,2.0,0.0,0.3,7.8,1,1,0.0
2,2021-01-02T10:15:45.000,2021-01-02T10:17:45.000,1,74,74,1,0.49,3.5,0.0,0.5,0.0,0.0,0.3,4.3,2,1,0.0
2,2021-01-02T10:50:22.000,2021-01-02T11:07:11.000,1,41,143,1,5.32,18.5,0.0,0.5,0.0,0.0,0.3,22.05,2,1,2.75
2,2021-01-02T10:36:10.000,2021-01-02T10:45:43.000,1,24,74,1,1.92,9.0,0.0,0.5,0.0,0.0,0.3,9.8,2,1,0.0
2,2021-01-02T10:25:41.000,2021-01-02T10:26:53.000,5,95,95,1,0.37,10.0,0.0,0.0,0.0,0.0,0.3,10.3,1,2,0.0
2,2021-01-02T10:20:15.000,2021-01-02T10:25:07.000,1,41,74,1,0.85,5.5,0.0,0.5,2.0,0.0,0.3,8.3,1,1,0.0
2,2021-01-02T10:55:10.000,2021-01-02T11:10:08.000,1,195,181,1,2.73,12.0,0.0,0.5,0.0,0.0,0.3,12.8,2,1,0.0
2,2021-01-02T10:00:54.000,2021-01-02T10:21:32.000,1,74,265,1,9.95,28.5,0.0,0.5,0.0,0.0,0.3,29.3,2,1,0.0
2,2021-01-02T10:48:54.000,2021-01-02T10:53:10.000,1,74,74,1,0.58,4.5,0.0,0.5,0.0,0.0,0.3,5.3,2,1,0.0
2,2021-01-02T10:10:54.000,2021-01-02T10:16:00.000,1,65,189,1,0.96,6.0,0.0,0.5,2.04,0.0,0.3,8.84,1,1,0.0
2,2021-01-02T10:58:03.000,2021-01-02T11:07:25.000,1,65,61,1,1.85,8.5,0.0,0.5,1.86,0.0,0.3,11.16,1,1,0.0
2,2021-01-02T10:22:55.000,2021-01-02T10:26:15.000,1,166,166,1,0.63,4.5,0.0,0.5,0.0,0.0,0.3,5.3,2,1,0.0
2,2021-01-02T10:56:05.000,2021-01-02T11:15:17.000,1,42,166,1,1.68,13.5,0.0,0.5,0.0,0.0,0.3,14.3,2,1,0.0
2,2021-01-02T10:30:55.000,2021-01-02T10:31:01.000,5,74,74,2,0.0,9.0,0.0,0.0,1.0,0.0,0.3,10.3,1,2,0.0
2,2021-01-02T10:59:35.000,2021-01-02T11:08:21.000,1,74,168,1,2.1,9.0,0.0,0.5,0.0,0.0,0.3,9.8,2,1,0.0
1,2021-01-02T10:38:40.000,2021-01-02T10:54:40.000,1,116,142,1,4.2,15.0,2.75,0.5,3.7,0.0,0.3,22.25,1,1,2.75
