vendorid,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,ratecodeid,pulocationid,dolocationid,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2021-01-02T04:52:29.000,2021-01-02T04:54:57.000,N,1,75,74,1,1.09,5,0.5,0.5,0,0,0.3,6.3,2,1,0
2,2021-01-02T04:21:11.000,2021-01-02T04:37:36.000,N,1,173,252,1,4.15,15,0.5,0.5,0,0,0.3,16.3,2,1,0
2,2021-01-02T04:56:04.000,2021-01-02T04:56:09.000,N,1,41,41,1,0.00,2.5,0.5,0.5,0,0,0.3,3.8,2,1,0
1,2021-01-02T05:18:50.000,2021-01-02T05:26:24.000,N,1,247,235,1,3.50,11.5,0.5,0.5,0,0,0.3,12.8,2,1,0
1,2021-01-02T05:42:30.000,2021-01-02T05:52:14.000,N,1,116,220,1,5.70,17,0,0.5,1,0,0.3,18.8,1,1,0
2,2021-01-02T05:32:52.000,2021-01-02T05:32:56.000,N,5,254,254,1,0.00,18,0,0,0,0,0.3,18.3,1,2,0
2,2021-01-02T05:47:43.000,2021-01-02T06:02:07.000,N,1,130,218,1,3.43,13,0.5,0.5,0,0,0.3,14.3,1,1,0
2,2021-01-02T05:05:07.000,2021-01-02T05:19:54.000,N,1,74,136,1,5.80,18.5,0.5,0.5,0,0,0.3,19.8,2,1,0
2,2021-01-02T06:21:30.000,2021-01-02T06:33:52.000,N,1,244,48,1,6.76,20,0,0.5,4.71,0,0.3,28.26,1,1,2.75
2,2021-01-02T06:32:08.000,2021-01-02T06:37:35.000,N,1,41,166,1,1.12,6,0,0.5,0,0,0.3,6.8,2,1,0
2,2021-01-02T06:32:30.000,2021-01-02T06:39:41.000,N,1,145,226,1,1.52,7.5,0,0.5,1.66,0,0.3,9.96,1,1,0
1,2021-01-02T06:24:04.000,2021-01-02T06:30:01.000,N,1,82,129,1,1.20,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,2021-01-02T06:44:34.000,2021-01-02T07:04:12.000,N,1,70,80,1,5.71,20.5,0,0.5,0,0,0.3,21.3,2,1,0
2,2021-01-02T07:38:50.000,2021-01-02T07:46:43.000,N,1,41,41,1,1.05,7.5,0,0.5,0,0,0.3,8.3,2,1,0
